Year,state,coc_number,coc_name,measures,count
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless Individuals,218
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless Individuals,"1,375"
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Homeless People in Families,872
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless Individuals,96
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless,"1,798"
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Individuals,945
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless People in Families,853
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Total Homeless,"2,247"
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless Individuals,122
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless,449
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Individuals,430
2007-01-01,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless People in Families,19
2007-01-01,TX,TX-503,Austin/Travis County CoC,Chronically Homeless Individuals,443
2007-01-01,TX,TX-503,Austin/Travis County CoC,Homeless Individuals,"3,116"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Homeless People in Families,"2,165"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless Individuals,92
2007-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless,"1,395"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless Individuals,773
2007-01-01,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless People in Families,622
2007-01-01,TX,TX-503,Austin/Travis County CoC,Total Homeless,"5,281"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless Individuals,351
2007-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless,"3,886"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless Individuals,"2,343"
2007-01-01,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless People in Families,"1,543"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless Individuals,574
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless Individuals,"2,046"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Homeless People in Families,"1,362"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless Individuals,472
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless,"3,041"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless Individuals,"1,683"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless People in Families,"1,358"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Total Homeless,"3,408"
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless Individuals,102
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless,367
2007-01-01,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless Individuals,363
