,fiscal_year,need_type,number_of_needs_met
0,2018,Basic Needs,156
1,2018,Benefit Linkage,56
2,2018,Coordinated Assessment,248
3,2018,Employment,13
4,2018,Identification documents,147
5,2018,Legal,8
6,2018,Linkage to Case Management Team,23
7,2018,MAP Cards,82
8,2018,Medical Support/ Linkage,133
9,2018,Mental Health Evaluation and Treatment Linkage,194
10,2018,Referral to APS,8
11,2018,Shelter/linkage to housing services,246
12,2018,Substance Use Services Linkage,34
13,2018,Transportation,110
14,2019,Basic Needs,356
15,2019,Benefit Linkage,43
16,2019,Coordinated Assessment,467
17,2019,Diversion out of Homelessness,16
18,2019,Employment,22
19,2019,Identification documents,252
20,2019,Legal,15
21,2019,Linkage to Case Management Team,53
22,2019,MAP Cards,104
23,2019,Medical Support/ Linkage,391
24,2019,Mental Health Evaluation and Treatment Linkage,164
25,2019,Peer Support Services,306
26,2019,Referral to APS,1
27,2019,Shelter/linkage to housing services,332
28,2019,Substance Use Services Linkage,68
29,2019,Transportation,426
