text_with_keyword_homeless,sentiment
"@LiberaReggio The pictures and video in the media break my heart.  It's just devastating to think so many hurt, dead, and homeless! ",0
turns out the dancing was result of artist seeing article about homeless guy getting shot.  i felt really small ,0
the homeless man at the redlight stared straight in my eyes as I ate my breakfast. I feel like poo  I wish I could help.,0
@TheJad hey if you do not see me tomorrow let nik know im looking for a house coz im homeless  thanks,0
I'm $100+ short on my rent that was due today and I just gave $5 to an old homeless man who tried to recruit me to be his girlfriend. ,0
I feel sorry for homeless people. ,0
@sparkeefire bring me and Tasha Sheetz. Were homeless gals ,0
"As of June 30th, I am homeless.  I have a job but no income ",0
Barefooted. Sandals broke. I feel homeless. ,0
@libbyvoegeli Yes   I can't risk homelessness and falling more behind in life.  So I need to shape up back in KC...,0
its strange that i get mad when homeless people steal my recycleables at 2 am. but then i also feel bad for them ,0
"isn't homeless now, just needs something to fill the empty space   Ah well, bring on the 80 hour work weeks of summer",0
"O hashbrown....my love!!!! ;) oh, happy day! But I'd rather stay at the IDignity event helping the homeless then go to the office! ",0
"Queen St was quirky! homeless, 5 dogs in a trolley, neat stretch hummer and no parks ",0
homeless people make me sad ,0
Eehh. the homeless people in Tampa make me sad ,0
"@keikomushi yeah, it's a great place for writers. i haven't been back to sl since i started. problem: i am now homeless ",0
Holy moly. It's over.  i'm homeless.  http://twitpic.com/5eyfm,0
@julielaurenvick that's why I watched it! Cause my mom said she was me but I think it's just cause she's single and talks to the homeless ,0
"I know its my job, but I still get a lil heart broken when a homeless kid comes to the door ",0
"@Bloglue Heard that homeless population, especially among younger folks, has really grown in JPN over the past year. Noticeably true? Sad ",0
Wow...so im definitely locked out my apt. and homeless 2nite. This is definitely NOT a good nite. catch me the library i guess... ,0
"Man, even the homeless guy seems to have gone out of town ",0
I wish there was no such thing as homeless people. ,0
@RoseLizenberg that's cute. I'm scared of the homeless. ,0
@MrsDDoubleU I'm really a homeless orphan who lives in a box next to @luvinmesomed s house  don't have electricity,0
There are newly homeless people sleeping around our office building.    I feel so bad for them.,0
"@tinyvamp anytime baby! woodrow the homeless guy is in it, this sketch is always more sad than funny to me ",0
@YOitsEILEEN And web-less starting the day after that  #homeless,0
"Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases ",0
Ok... No one was interested in my special.   Now the popcorn is stale! What a waste. I'm going to find a homeless person to give it to ...,0
shoutout to @denzelburks we're both starvin like homeless cambodian kids  lmao,0
is hitting the streets. 40 hours living with Lexington's homeless. No food...no bed...no problem. No Facebook or Twitter...  Pray for us.,0
@katyperry greets from Chile Katy!!  do u want a kitty? she's homeless ,0
My friends all left. The leaders are being mean. So i have no one to drink with. Might go find a homeless person to befriend. ,0
 ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...,0
Eating lords while seeing a homeless guy eat chips from the bin bums me out ,0
@monpio &quot;... And I came home early and you're all dressed up. What gives?&quot; Then he went on about the ugly homeless look.. ,0
Should I write? Or go sleep next to the guy that called me an ugly homeless troll? Q.Q ,0
`technically homeless pretty sick ,0
"A downside of graduating: university account (email &amp; web) is removed  Being &quot;homeless&quot; soon, I'm moving my web home 2 &quot;greener&quot; pastures",0
helping out at the homeless shelter. then later going to a show at the echo. im going to miss my baby ,0
&quot;a world with more birthdays&quot;? Good? No. We're already overpopulated. It would make disease and despair and homelessness so much worse. ,0
@rahooligan there r no jobs. im going to be poor and homeless n stuck with twitter. waaaaaaaaaaahhhhh ,0
I see homeless people all the time&amp;it never makes me wanna cry but he did ,0
"Yea next time the dogs stay him, bad dogs taking a homeless guys scraps ",0
"Picked up a fun, crazy homeless man hitch-iking who blessed us &amp; our car. Came home to find beer was spoiled from sitting in the sun. ",0
@afaustino22 ah you suck akeem! i really really wanted to go!  i ended up going to a wedding and then with harjas to the homeless shelter.,0
"@homelessdragon hey, didnt recieve your &quot;yo&quot; until I exited the game ",0
"@homelessdragon hey, didnt recieve your &quot;yo&quot; until I exited the game... or more accurately until *IT* exited the game ",0
" I am sad, broke, homeless, and unemployed. jumping off a bridge in one week if this doesn't change.",0
I now understand why people choose to run away. Why they choose to be homeless. And why they choose to commit suicide... ,0
I've been homeless. Pls watch this.    http://bit.ly/BC55o,0
Had to cut catfight. We looked like homeless chicks brawling over a bottle of Boone's Farm!   http://bit.ly/4cLWv,0
I hate seeing homeless people when I don't have change on me ,0
