Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Chronically Homeless Individuals,218
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Homeless Individuals,"1,375"
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Homeless People in Families,872
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Chronically Homeless Individuals,96
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless,"1,798"
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless Individuals,945
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Sheltered Homeless People in Families,853
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Total Homeless,"2,247"
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Chronically Homeless Individuals,122
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless,449
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless Individuals,430
1/1/2007,TX,TX-500,San Antonio/Bexar County CoC,Unsheltered Homeless People in Families,19
1/1/2007,TX,TX-503,Austin/Travis County CoC,Chronically Homeless Individuals,443
1/1/2007,TX,TX-503,Austin/Travis County CoC,Homeless Individuals,"3,116"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Homeless People in Families,"2,165"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Sheltered Chronically Homeless Individuals,92
1/1/2007,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless,"1,395"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless Individuals,773
1/1/2007,TX,TX-503,Austin/Travis County CoC,Sheltered Homeless People in Families,622
1/1/2007,TX,TX-503,Austin/Travis County CoC,Total Homeless,"5,281"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Unsheltered Chronically Homeless Individuals,351
1/1/2007,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless,"3,886"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless Individuals,"2,343"
1/1/2007,TX,TX-503,Austin/Travis County CoC,Unsheltered Homeless People in Families,"1,543"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Chronically Homeless Individuals,574
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Homeless Individuals,"2,046"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Homeless People in Families,"1,362"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Chronically Homeless Individuals,472
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless,"3,041"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless Individuals,"1,683"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Sheltered Homeless People in Families,"1,358"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Total Homeless,"3,408"
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Chronically Homeless Individuals,102
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless,367
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless Individuals,363
1/1/2007,TX,TX-600,Dallas City & County/Irving CoC,Unsheltered Homeless People in Families,4
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Chronically Homeless Individuals,479
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless Individuals,"1,550"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Homeless People in Families,"1,326"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Chronically Homeless Individuals,392
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless,"2,675"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless Individuals,"1,349"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Sheltered Homeless People in Families,"1,326"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Total Homeless,"2,876"
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Chronically Homeless Individuals,87
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless,201
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless Individuals,201
1/1/2007,TX,TX-601,Fort Worth/Arlington/Tarrant County CoC,Unsheltered Homeless People in Families,0
1/1/2007,TX,TX-603,El Paso City & County CoC,Chronically Homeless Individuals,208
1/1/2007,TX,TX-603,El Paso City & County CoC,Homeless Individuals,804
1/1/2007,TX,TX-603,El Paso City & County CoC,Homeless People in Families,437
1/1/2007,TX,TX-603,El Paso City & County CoC,Sheltered Chronically Homeless Individuals,72
1/1/2007,TX,TX-603,El Paso City & County CoC,Sheltered Homeless,968
1/1/2007,TX,TX-603,El Paso City & County CoC,Sheltered Homeless Individuals,531
1/1/2007,TX,TX-603,El Paso City & County CoC,Sheltered Homeless People in Families,437
1/1/2007,TX,TX-603,El Paso City & County CoC,Total Homeless,"1,241"
1/1/2007,TX,TX-603,El Paso City & County CoC,Unsheltered Chronically Homeless Individuals,136
1/1/2007,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless,273
1/1/2007,TX,TX-603,El Paso City & County CoC,Unsheltered Homeless Individuals,273
