Year (CY),Type,Source,Summary,Recommendation/Resolution,Implementing Department,Action Category,Direct/Indirect?,Targeted at Homelessness?,Actionable?,Status of the Recommendation/Resolution 
2011,OCA Audit,Affordable Housing: Rental Housing and Acquisition & Development Monitoring Audit,,"In order to support the efficiency and effectiveness of information management practices for RHDA projects, NHCD Director should:
- Continue efforts to ensure the completeness and accuracy of project information collected and maintained in the monitoring database by the Compliance Division; and
- Facilitate coordination between the Project Administration and Compliance Divisions.",NHCD,Monitoring,Indirect,No,,
2011,OCA Audit,Affordable Housing: Rental Housing and Acquisition & Development Monitoring Audit,,The NHCD Director should improve existing procedures and controls for monitoring activities in order to have an efficient and effective monitoring process and ensure that staff is trained to implement those procedures and controls.,NHCD,Recommendations for process improvements,Indirect,No,,
2012,OCA Audit,Austin Energy Customer Assistance Programs Audit,,AE management should work with Council to identify a funding source to pay for assistance provided through the Discount Program.,Austin Energy,Financing,Indirect,No,,
2012,OCA Audit,Austin Energy Customer Assistance Programs Audit,,AE management should work with the Plus 1 Program partners and community representatives to define what is meant by “having difficulty in paying utility bills” and determine the feasibility of establishing consistent minimum criteria for the end-recipients of the Plus 1 Program.,Austin Energy,Financing,Indirect,No,,
2015,OCA Audit,Austin Energy Low-Income Weatherization Program Audit,,"5. Austin Energy management should continue to implement the changes noted in the additional observation section including: 
c) marketing the program to increase awareness of available weatherization services.",Austin Energy,Financing,Indirect,No,,
2015,OCA Audit,Austin Energy Low-Income Weatherization Program Audit,,1. Austin Energy management should ensure adequate monitoring and oversight over the eligibility process to ensure expending of program funds are optimized and that only eligible customers are served.,Austin Energy,Financing,Indirect,No,,
2015,OCA Audit,Austin Energy Low-Income Weatherization Program Audit,,4. Austin Energy management should clarify the goals of the weatherization program with the stakeholders and should track relevant and reliable performance measures for evaluating the success of the program.,Austin Energy,Financing,Indirect,No,,
2015,OCA Audit,Prioritization of Affordable Housing Development Audit,,"1. The NHCD Director should initiate a policy discussion with the City Council to:
a) evaluate whether City policies and programs which support the creation of affordable housing are effective in achieving the City’s affordable housing core values and in meeting the affordable housing needs of the community; and
b) seek direction on the role of NHCD for programs involving developer incentives for affordable housing.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2015,OCA Audit,Prioritization of Affordable Housing Development Audit,,"2. The NHCD Director should organize affordable housing efforts to ensure that City policies and programs which support the creation of affordable housing are clearly prioritized, and are linked to the achievement of the established affordable housing values and to needs of the community.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2015,OCA Audit,Prioritization of Affordable Housing Development Audit,,3. The NHCD Director should regularly report to the public and decision-makers outcomes related to achievement of core values to ensure accountability.,NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2015,OCA Audit,Prioritization of Affordable Housing Development Audit,,"4. The NHCD Director should coordinate with other City departments to ensure accurate tracking, monitoring, and reporting of projects which results in affordability restrictions on housing developments.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2015,OCA Audit,Prioritization of Affordable Housing Development Audit,,5. The NHCD Director should allocate appropriate resources to ensure that compliance and monitoring of affordability restrictions occurs timely and in a manner that is consistent with policy requirements.,NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To continue attracting developer participation in S.M.A.R.T. Housing, the Community Development Officer should collaborate with the directors and staff of Watershed Protection Review, Water Wastewater, and Public Works to develop and implement cost-reduction strategies other than fee waivers and expedited review for affordable housing development in Austin, and remove barriers to development of low-moderate housing in the Austin market.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To ensure that the City can recover damages and waived fees, in the event of non-performance by S.M.A.R.T. Housing-certified projects, the Community Development Officer should work with the City's Law Department to create and implement a binding contract, to be executed as a condition of receiving waivers, advocacy, and additional S.M.A.R.T. Housing benefits. Elements of the contract should include, but not be limited to: 
- expected performance and means to measure requirements,
- monitoring requirements, with timelines, and sanctions for non-compliance,
- fee types authorized for waiver per project,
- actual dollars waived per project, and
- audit provisions. ",NHCD,Recommendations for planning and approach,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To account for the City's investments via fee waivers, S.M.A.R.T. Housing staff should:
- set up an agreement with the departments that waive fees to report actual fee waiver amounts to S.M.A.R.T. housing staff,
- reconcile authorized waivers to actual waivers,
- measure costs associated with fees waived, and
- report total fees waived in the S.M.A.R.T. Housing report to the City Manager's Office. ",NHCD,Monitoring,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To address the issue of affordable housing stock retention, the Community Development Officer and Neighborhood Housing and Community Development staff should review the current use of affordability controls to protect the city's interest, such as restrictive covenants and first right of refusal on S.M.A.R.T. Housing project properties, and make recommendations to Council to the effect of strengthening affordability control requirements.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"In order to ensure performance accountability, the Community Development Officer should identify and implement a family of performance measures that accurately reflect what S.M.A.R.T. Housing staff are expected to achieve. These measures should include, but not be limited to, the following measures:
- foregone revenues (City investment) per reasonably priced S.M.A.R.T. Housing unit by housing type and income group served (efficiency measure, useful for cost-benefit analysis). Requires collection of waived fee costs (input) and number of S.M.A.R.T. units serving incomes 80% and below (output).
- affordability impact statements, to include number issued (output) and estimated cost avoided (outcome)
- number of reasonably priced S.M.A.R.T. Housing units certified and number completed by housing type and income group served (outputs). ",NHCD,Monitoring,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"In addition, the Community Development Officer should adopt and monitor a measure for the Housing Development division reflecting the stock of affordable housing available to each income category in Austin.",NHCD,Monitoring,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"To further ensure performance accountability, the Community Development Officer should promote S.M.A.R.T. Housing from a service to a budgeted activity.",NHCD,Recommendations for process improvements,Indirect,No,,
2002,OCA Audit,S.M.A.R.T. Housing Audit,,"The City Manager should reemphasize that other City departments involved in housing development should plan and cooperate with the S.M.A.R.T. Housing staff to ensure that affordable housing issues are addressed in new subdivisions, extensions of existing services, analysis of excess service capacity, and annexations.",NHCD,Preserving and expanding the supply of affordable housing,Indirect,No,,
