State,"Change in Total Homelessness, 2019-2020","Change in Total Homelessness, 2018-2020","Change in Total Homelessness, 2017-2020","Change in Total Homelessness, 2016-2020","Change in Total Homelessness, 2015-2020","Change in Total Homelessness, 2014-2020","Change in Total Homelessness, 2013-2020","Change in Total Homelessness, 2012-2020","Change in Total Homelessness, 2011-2020","Change in Total Homelessness, 2010-2020","Change in Total Homelessness, 2009-2020","Change in Total Homelessness, 2008-2020","Change in Total Homelessness, 2007-2020"
AK,2.2%,-3.3%,5.6%,0.5%,-0.4%,9.2%,0.2%,1.9%,-8.4%,4.6%,-2.2%,18.4%,18.7%
AL,2.8%,-2.4%,-11.7%,-18.5%,-15.6%,-26.5%,-28.5%,-35.7%,-39.7%,-44.6%,-44.9%,-37.8%,-38.5%
AR,-12.9%,-12.8%,-4.1%,-3.9%,-7.6%,-19.4%,-37.9%,-43.9%,-30.9%,-14.3%,-17.0%,-27.3%,-38.3%
AS, , , , , , , , , , , , , 
AZ,9.7%,11.3%,22.7%,13.1%,10.9%,4.6%,3.9%,-2.9%,4.5%,-19.9%,-25.4%,-12.1%,-25.0%
CA,6.8%,24.3%,22.8%,36.7%,39.6%,41.8%,36.3%,34.5%,29.1%,30.8%,30.6%,18.3%,16.2%
CO,2.4%,-9.3%,-10.0%,-6.7%,-1.1%,-1.8%,0.9%,-41.3%,-34.9%,-36.4%,-35.5%,-33.2%,-30.8%
CT,-4.2%,-26.9%,-14.3%,-25.6%,-28.2%,-34.7%,-34.7%,-31.0%,-34.8%,-32.7%,-36.9%,-37.2%,-35.2%
DC,-2.2%,-7.6%,-14.6%,-23.6%,-12.6%,-17.7%,-7.1%,-8.3%,-2.5%,-2.4%,2.4%,5.6%,19.9%
DE,26.5%,7.7%,17.2%,8.9%,22.2%,29.3%,23.2%,15.6%,12.6%,18.6%,3.1%,24.9%,9.8%
FL,-3.0%,-11.4%,-14.6%,-18.1%,-23.4%,-33.8%,-42.6%,-50.2%,-51.5%,-52.2%,-50.6%,-45.2%,-42.8%
GA,-2.0%,7.7%,0.6%,-20.7%,-25.8%,-38.1%,-39.7%,-50.1%,-51.2%,-48.4%,-49.7%,-46.4%,-47.9%
GU,-9.7%,-7.5%,-7.3%,-27.2%,-38.3%,-41.7%,-37.8%,-39.3%,-54.7%,-51.7%,-27.4%,9.0%,9.0%
HI,0.7%,-1.1%,-10.6%,-18.5%,-15.2%,-6.6%,1.9%,3.4%,4.4%,10.7%,11.7%,6.6%,6.4%
IA,14.3%,-3.7%,-4.0%,-13.6%,-14.1%,-15.2%,-14.2%,-9.6%,-15.5%,-12.2%,-21.7%,-20.9%,-3.2%
ID,0.0%,15.1%,13.6%,3.0%,17.8%,10.0%,30.0%,17.6%,5.3%,-1.3%,19.4%,58.1%,32.4%
IL,2.3%,-2.0%,-3.4%,-10.0%,-20.8%,-20.4%,-22.3%,-26.3%,-25.5%,-27.5%,-25.8%,-29.2%,-32.6%
IN,2.8%,7.0%,3.4%,-3.0%,-4.1%,-5.8%,-7.7%,-10.1%,-9.2%,-12.8%,-19.5%,-23.9%,-23.6%
KS,2.9%,10.5%,7.1%,8.6%,-5.4%,-12.0%,-9.1%,-8.8%,-2.5%,21.0%,29.4%,40.9%,16.0%
KY,-1.7%,8.8%,-0.3%,-5.3%,-11.6%,-21.2%,-23.5%,-23.3%,-33.5%,-39.4%,-33.1%,-50.7%,-50.2%
LA,7.9%,3.7%,-4.0%,-20.6%,-22.2%,-31.1%,-39.3%,-59.2%,-65.8%,-74.6%,-74.6%,-42.1%,-42.2%
MA,-2.7%,-10.4%,2.3%,-8.3%,-15.0%,-15.4%,-5.5%,2.7%,7.9%,8.0%,16.1%,23.9%,18.8%
MD,-3.1%,-11.0%,-12.2%,-17.3%,-24.2%,-19.0%,-22.5%,-32.7%,-37.7%,-41.4%,-45.6%,-31.0%,-33.9%
ME,-0.4%,-16.7%,-8.0%,-6.4%,-11.6%,-23.1%,-30.5%,-12.4%,-14.3%,-11.9%,-14.2%,-20.3%,-20.5%
MI,0.7%,3.4%,-4.6%,-7.3%,-17.9%,-29.4%,-25.1%,-31.4%,-34.5%,-33.8%,-38.3%,-69.4%,-69.5%
MN,-0.5%,9.6%,3.5%,8.2%,5.2%,-5.2%,-3.3%,2.5%,5.9%,0.9%,2.9%,3.9%,8.4%
